Tanggal,Teks_Ulasan,Rating
2026-05-25 21:34:50,game nya bagus tapi size makin besar.,2
2026-05-25 21:29:33,"ini game kebanyakan download habisin quota kaum miskin Bos.. dikit2 download padahal uda di download ,barusan main aman logout masuk lagi login minta unduh lagi.. skin sama item2 nya Bos",1
2026-05-25 21:19:33,"saya memainkan game ini, update membuat hp saya lag, sinyal terputus, grafis patah patah kejadian ini sangat merugikan saya. saya harap pihak pubg memperbaiki msalah ini secepatnya.",2
2026-05-25 21:18:30,oke,5
2026-05-25 20:27:59,kenapa gak bisa login login sih bug apa ini pubg menggunakan akun lain juga gak bisa login kenapa ini,1
2026-05-25 20:18:04,ok,5
2026-05-25 20:10:28,"mencari lawanya kelamaan hampir dua menit, beda sama game ff",1
2026-05-25 20:10:13,sudah waktunya hapus gem. 8 gb sudah ga mampu bos login aja susah. sudah terlalu lama main mungkin idah waktunya berenti. over even berat,1
2026-05-25 19:59:57,"ini bug servernya parah,login game malah cuma di loading screen lebih dari 10 menit gak masuk2 padahal wifi ok,sinyal jaringan ok perbaiki lah bug nya, jangan cuma banyakin event doang bug malah di biarin",1
2026-05-25 19:55:47,makin ga jelas susah login jaringan bagus lancar ngestug di logo aja,1
2026-05-25 19:50:32,"fix tombol fire nya, kadang nembak kadang enggak",2
2026-05-25 19:44:58,jelek anying,1
2026-05-25 19:40:13,terlalu banyak bot sudah tidak se seru dulu makin lama makin hilang keseruannya,2
2026-05-25 19:17:34,"aneh deh pake wifi gak bisa gabung ke server, tapi pake jaringan data biasa bisa jadi annoying bgt",2
2026-05-25 19:04:30,"setelah ada update pembaruan one ui 8.5 pubgm tidak bisa di buka, apakah ini bug? kalo memang iya tolong diperbaiki",5
2026-05-25 19:04:09,gatau belum nyoba,1
2026-05-25 18:31:57,mantap sob,5
2026-05-25 18:07:53,Pada update berikutnya tolong berikan smooth 120 fps pada Xiaomi Pad 8,5
2026-05-25 16:31:43,"apala cuma dapet fps cuma 30an kadang turun sampe 10, grafik juga udah super smooth😤",1
2026-05-25 16:03:28,teruntuk owner pubg mobile tolong perbaiki bug yang sering terjadi ini pas main mode solo di rank terus ubah ke squad dia malah gaada event & tempat recall suka aneh udah kaya epep aja lu banyak bug,5
2026-05-25 15:07:31,RP sekarang udah tidak bagus..rilis sekin m46.itu pun.lama...sekarang pun makin pahit sekin senjata ya..PUBG sekarang udah tidak memberi kesan bgus.untk di maenkan sama player baru..,5
2026-05-25 15:02:11,"I thank Level Infinite because after Update 4.4, it is a little behind than before, I hope you can improve more changes that can make the game easier and smoother. Another thing I want is how can I stop downloading in pubg, I have stopped the automatic download but why is it still moving to download?",4
2026-05-25 14:37:43,main ge ini dulu 2018 skarang mau main nih game lagi mau masuk aja ribet eror trus.,1
2026-05-25 13:54:31,pubg game bagus sebenarnya gamenya keren,5
2026-05-25 13:42:00,gem ini mantap saya maen dari 2020,5
2026-05-25 13:26:29,halo saya claimed 220 uc di midasbuy tapi uc tidak tertambah setelah menyelesaiakn top up sebanyak 600 uc . di in game status udah ter claimed juga. bisakah saya melihat history gacha atau beli item di dalam game ini? tolong saya ya. atau kasih alamat email yang bisa aku hubungi ( bukan bot ataupun ai),3
2026-05-25 12:12:12,game mati keluar asap wkwk🤪🤣,1
2026-05-25 11:56:24,♡♡♡♡♡ please update fitur rumah rumah,5
2026-05-25 10:52:23,pake jaringan apapun busuk gak bisa masuk,1
2026-05-25 10:22:34,"Min kenapa Poco F7 belum terbuka HDR Extreme+ padahal secara chipset harusnya sudah mumpuni, terima kasih.",3
2026-05-25 09:58:57,bagusss🥰😍,5
2026-05-25 09:27:40,baguslah gamenya,5
2026-05-25 09:02:06,"tidak bisa login menggunakan akun twitter, sudah 2 hari begini terus padahal akun saya dari season 2,mohon diperbaiki !!",1
2026-05-25 08:53:03,kami tim kage PUBG mobile sangan kecewa dengan cerita menjiplak karya seseorang mencurinya secara sewenang-wenang dengan menghilangkan Menggantinya yg baru bahkan jika lebih banyak orang memainkan kage PUBG mobile versi terbaru tim garusoft kami TDK akan ragu menghapus game PUBG mobile di semua negara lagi lagi tim garusoft yg membuat mobile PUBG mobile sangat marah dengan akun bernama ichalkorg,1
2026-05-25 08:19:14,"game ini dulunya sangat bagus dan seru ,namun sekarang saya coba download di Infinix hot 60i sungguh sangat ngepreme ..bahkan makin leg leagi di grafis super semoud Berti PUBG di tahun 2026 ini tidak ada lagi device android bahkan ippone 13 promax tetap leg",1
2026-05-25 08:13:31,game nya seru banget!!!,1
2026-05-25 07:41:33,hallo apkah bisa kolaborasi dengan Alan Walker lagi dengan lagi on my way dengan tema mengenang masalalu dan map.kayak di 2018,5
2026-05-25 07:31:16,lumayan lah game nya tapi tolong pas grading kenapa kaya pada tau gitu pada ngincer,4
2026-05-25 04:48:52,sayangnya bot terlalu banyak jadi tidak seru,4
2026-05-25 04:46:51,"game pubg sekarang sudah tidak sebaik thn 2018-2019.semenjak pubg pindah alam .pubg sekarang makin ngawur,hanya fokus ke iven,bukan lagi kepuasan player bermain.kasian player baru ,oh iya..sekarang pubg tidak melihat tier atau level player meskipun tier player rendah di pertemukan dengan pro player.otomatis tier rendah jadi santapan player pro.ya kan"".proteksi rating yg tidak sepadan.game tolol",1
2026-05-25 01:29:09,Makin hari kenapa makin eror ni pubg dah dekat chiken macam² tu muncul pembritahuan jaringan anda terputus koneksi eror emang tak bisa liat aku kalo main game bahagia kah pubg ni senang sekali aku cakap² emosi tiap hari akhir² ni,3
2026-05-25 00:49:06,"tolong perbaiki system banned kalian saya tidak melakukan apa"" mengapa saya di banned perjam!!",1
2026-05-24 23:38:54,game sampah soalnya akun gw mau lepas ikat Gmail gak bisa padahal Gmail lupa kata sandi nomernya udah hanguss udah beberapa ke customer service tapi no respon udah lah pensi aja maen game ke gini akun gw jadi akun mati Tencent haram,1
2026-05-24 23:34:05,jyjjur seru😙😙..,5
2026-05-24 23:12:39,20000💯💯💯💯💯,3
2026-05-24 22:49:59,"sampah Helios, udh di ngetik jalan malah diem bae",3
2026-05-24 22:41:36,adain lagi rain sama mode night🥺,5
2026-05-24 22:19:24,game paleh,1
2026-05-24 22:14:30,please add errangel map in vs Ai mode like in livik vs Ai maps,5
2026-05-24 22:13:37,"game bapak"",isinya orang"" udah tua,gen melenial😭😭",4
2026-05-24 21:50:18,"Parah UPDATE 250MB , udah 100% malah blom kelar"" ..",5
2026-05-24 21:21:05,mantap dari 2019..,5
2026-05-24 21:02:07,"gem babi udah top up, Yusi nya g masuk",1
2026-05-24 20:33:45,Geme lain memang bagus tapi pubg lebih menggoda,5
2026-05-24 20:26:47,mantap banget skrg fiturnya bagus,5
2026-05-24 20:18:32,tolong lah masih banyak cheater ini,1
2026-05-24 20:06:00,Ok,5
2026-05-24 20:03:51,mantap game ini,5
2026-05-24 19:08:40,saya main,5
2026-05-24 18:31:59,terbaik,5
2026-05-24 18:19:30,game bikin pusing gw aja mau nembak musuh gak tau di mana gw beri bintang 🌟 aja,1
2026-05-24 18:19:09,jelek banget,5
2026-05-24 17:34:36,apalah ini game lagi lagi seru serunya push awal season malah muncul problem gyroscope tiba tiba mati total padahal di pengaturan in game settingannya semua on udah di laporkan di in game langsung masalah tetap sama gimana ini developer mohon segera di perbaiki udah realog pun masih tetap nihil masalah gak kelar kelar,2
2026-05-24 17:08:01,"min anak saya ngeluh terus soal game pubg mobile kata anak saya dia butuh tas, helm dan rompi level 4-6 soal nya klo tas, helm dan rompi cuma sampe level 3 tas nya cepet penuh gitu minn🙏🙏",4
2026-05-24 17:05:39,saya suka game ini,5
2026-05-24 16:36:15,good,5
2026-05-24 16:06:30,epep ini burik,4
2026-05-24 15:49:41,gameplay yang sangat bagus dan penuh adrenalin,5
2026-05-24 15:20:57,"ini game mantap dari dapa game sebelah "" MC GOGO game settingan. game Judi Online. masih mending main game lain",5
2026-05-24 15:15:25,"saran saya, sediakan juga kapal very yg bisa mengangkut kendaraan jikalau tidak bisa lewat jembatan, biasanya musuh sering kali mengepung di jembatan",1
2026-05-24 15:04:06,"Match matching nya gk JELAS semenjak grading"" t4i kucing!!!! , maen solo dikasih musuh top global full squad semua!!!",1
2026-05-24 14:56:55,SAGAG KERENG,5
2026-05-24 14:50:25,Tolong tambahkan mode bertemakan zombie seperti nya itu menarik ✨,5
2026-05-24 14:45:27,beacause their no auto aim,1
2026-05-24 14:18:37,event baru ada fitur gradingnya setiap masuk grading sl ngeframe parah pas ketemu musuh pasti ngefrem lag patah patah padahal kl gak grading semua normal lancar ni game makin buruk makin kedepan bukan makin enak d mainin malah makin busuk kayak bangke,2
2026-05-24 13:59:28,bagus banget tapi ada kekurangannya,5
2026-05-24 12:50:31,Belikan saya handphone yang mumpuni biar bisa main pubg lagi..,3
2026-05-24 12:50:03,tolonggg buatt para playerrr yang sering ngomen kok rumah nya kotak kotak kok Ng bagg kok Ngframeee itu bukan salah game PUBG nyaa justru hp nyaaa terlalu kentang jadi gituuu bukan masalah dalam game nyaaaa yaaa kan PUBG juga kalau ada bag dalam game nya mau pun loby ke apa ke kan langsung di perbaiki jadi gituuuu yaa,5
2026-05-24 12:45:13,sangat berkesan,5
2026-05-24 12:38:56,"banyak bug , tombol banyak yg ga fungsi , makin kesini kok makin jelek",1
2026-05-24 11:19:13,"kecewa sama game pubg sekarang ,, makin banyak citer,, udah sering Nemu citer,, saya udah merasa bosan sama game ini",1
2026-05-24 11:10:54,"banyak bug. dari mulai wifi tidak bisa di akses, bug map, bug tampilan.",1
2026-05-24 11:00:21,asik gamenya!!,5
2026-05-24 10:48:14,kenapa gk bisa masuk aku baru main jadi gk tau cara masuk,1
2026-05-24 10:26:01,nice,5
2026-05-24 10:15:57,sangat bagus udah 6 tahun main PUBG gak pernah bosan,5
2026-05-24 10:14:51,PUBG MOBILE🥇😍😍😍,5
2026-05-24 10:07:47,makin lama makin besar data penyimanan,1
2026-05-24 08:41:34,Papji,5
2026-05-24 07:49:26,"fix frame drop ,dan lagg saat bermain , tolong smooth kan game chipset : Dimensity 6080 tolong boost performance",1
2026-05-24 07:17:19,bagus2 aja sihh ini game nyaa tapii masalah nyaa agak mudah panass kalo di HP oppo kuu,5
2026-05-24 07:06:54,tolong jgn terlalu sering update,1
2026-05-24 06:48:16,"mau kasih saran untuk developer pubg, di bagian opsi pertempuran terkini (kalau mau undang tim kita yang sebelumnya) tolong kasih di bagian bawah nama mereka atau dimanapun riwayat kill atau skor tim kita sebelumnya supaya kita gampang temuin rekan tim sebelumnya yang gak beban atau jago, terlepas dari itu untuk update kali ini bagus banget walaupun ada beberapa bug yang cukup mengganggu pengalaman bermain player.",5
2026-05-24 05:39:54,seru,1
2026-05-24 05:35:57,tolong gem nya dikecilin lagi biar banyak player pubg yang udah lama gk maen karena hp ram nya 4,3
2026-05-24 02:48:17,"min gacha harley susah amat sih harus spend berapa uc lagi nih😹, terimakasih atas kekikirannya.",5
2026-05-23 21:56:26,wkwkwkwkwkw hp gua udah baguss,5
2026-05-23 21:51:41,"udah banyak yang ngeluh soal grading, banyak yang ngga suka dan malas main,tapi developer seolah olah ngga dengerin kritik,main game buat nenangin pikiran atau buat hiburan bukan malah jadi emosi gara gara grading,kalo masih ada sistem grading mending uninstall game ini",1
2026-05-23 21:41:57,the best,5
2026-05-23 21:26:46,💗,5
2026-05-23 20:56:39,"tambah hari tambah hancur jaringan signalx ini game. di perbaiki itu servis jaringan pubg nya, lag lag melulu, parah banget jaringanx, setiap kali main gamex jaringan tdk pernah stabil",1
2026-05-23 20:53:45,"selamat malam sy pemain drih season Alan Walker sampai akhirnya masah yg TDK aku inginkan tibah, dan taukah bahwa bnyak pemain akan berhenti, karena dmna beratnya untuk mengunduh data""nya dan SDH TDK seperti dluh LG, dan mungkin setelah sy selesai nulis ini sy SDH berhenti main sejak 5 bulan lalu, 👋",2
2026-05-23 20:28:30,"apaan sih update trus, tapi bedanya ga seberapa, menuhin memory aja",3
2026-05-23 20:25:46,ping 20ms tiba²berubah ke 300ms kalau ketemu musuh.. padahal jaringan ku baik² saja. ini sangat mengganggu.. tolong Tencent/krafton perbaiki..,2
2026-05-23 20:25:13,"I hate the 6X now, the reticle got really thick after the update",5
2026-05-23 20:14:50,welcome back pubg,4
2026-05-23 19:18:16,manggaduah iklannyo,1
2026-05-23 19:14:02,sangat bagus,5
2026-05-23 18:47:47,"udah top up lewat metode pembayaran qris untuk beli rp 50 cuma gak masuk tolong atensinya padahal udah login berkali"" tetap gak masuk",1
2026-05-23 18:46:03,game nya bagus tapi menurut untuk update selanjutnya agar lebih memperhatikan para player yang hp nya kentang karna semakin update malahan semakin berat yang ngebuat para player yang hp nya kentang lebih susah bersaing dengan player player yang mungkin hp nya bagus,4
2026-05-23 18:30:23,koneksi server lost mulu tod babi lah,1
2026-05-23 18:23:12,semakin burik terlalu banya iven tapi tdk menguntungkan dan tdk terlu fungsi,1
2026-05-23 17:03:06,"game taiii..., mau renked solo.., selalu menunggu waktu sampai 20menit ... terus kapan mainya para player solo ..!",1
2026-05-23 16:20:31,"Ini kenapa kok Setiap main ngelag,,padahal jaringan bagus+pkae WiFi",5
2026-05-23 16:15:57,"saya sangat terganggu dengan adanya kesalahan di dalam pertempuran mengenai rumah yang luntur dan itu sangat menggangu ketika mau war tetapi saya belum bisa looting masuk ke dalam rumah, mohon developer untuk memperbaiki masalah ini.",4
2026-05-23 14:28:37,lepass jangan di pegang siapa siapa selain Tencent!!. makin lama ga masuk nih game even even ! jangan perbanyak event pliss ganti pubg seperti dulu tidak banyak even !! pubg main sepi!,1
2026-05-23 14:20:03,game ini bikin gw jadi psikopat,5
2026-05-23 14:07:02,Sudah tidak real act. Selalu ada hal yang fiktif dan tidak real. maaf PUBG saya uninstall. Terimakasih PUBG yang dulu. 🙌,1
2026-05-23 13:55:53,"halo, terimakasih sudah membuat game pubg saya sangat senang bisa memainkan nya tapi saya mohon untuk menambah kan fitur grafik yg lebih kompleks misalnya untuk menurunkan resolusi, karena hp saya sudah tidak mampu bermain pubg tetapi saya masih mau bermain dan juga tambah kan fitur grafik yg sangat rendah agar saya dapat bermain minimal 60 fps, karena hp saya 30 fps dan sudah tidak mampu bermain pubg, saya mohon, terimakasih",5
2026-05-23 12:57:04,game yg paling saya suka.,5
2026-05-23 12:42:02,game yang sangat bagus,5
2026-05-23 11:29:07,"Game makin alay dan lebay, malas main",1
2026-05-23 11:28:16,"Satu lagi,ini ada bug fps stuck di 60 fps padahal pake settingan grafik 90 fps. biasanya main lancar aja di 90-120 fps dan permainan smooth,tolong lah pubg game lu ni banyak banget bug.perbaiki secepatnya,ga nyaman banget mainnya.",1
2026-05-23 11:05:56,"woyyy update versi 4.4 knp jadi lag, padahal yang sebelumnya enggak lagg, benerin lagi dong ini developer nya Gimn sihh",1
2026-05-23 10:08:59,eng bisa di buka ya,5
2026-05-23 09:26:36,"pencarian laga aja sampai 1 jam lebih, itupun juga gk ketemu, saran saya sih klo mmg gk ada pemain lagi mending di bekukan aja PUBG ini. buat apa ada game ini klo gk ada pemain.",1
2026-05-23 09:02:40,seru sekali per mainannya,5
2026-05-23 08:56:36,"game aneh tiba tiba data obb nya kehapus sendiri padahal gua ga ngapa ngapain terus sekarang banyak bug mulai dari tombol revive hilang, tombol recall hilang, dan lompat dari mobil ga mati, mohon di perbaiki karna merusak mood saya waktu bermain dan buat malas untuk main lagi",1
2026-05-23 07:48:16,habis update malah ada bug gyroscope ngak fungsi,2
2026-05-23 06:16:09,sange Bgt,4
2026-05-23 05:35:45,🔥🔥🔥,5
2026-05-23 03:16:12,game kont°l main solo malah grading squad,1
2026-05-23 02:54:12,apk nya ngk jelas ngk bisa login,1
2026-05-23 01:46:03,"tolong kasih support untuk hp kentang, hp kentang pengen main juga",3
2026-05-23 01:22:54,sensi jadi beda habis update,4
2026-05-23 01:02:04,mortar hapus yaaa,5
2026-05-23 00:43:30,menurut gua lama2 bukan kaya perang.. jadi gak asik terlalu banyak fitur2. coba lebih realistik lagi.,3
2026-05-23 00:35:16,apakah kolaborasi dengan resident evil dari capcom tidak ada lagi,4
2026-05-22 23:37:38,hoki,5
2026-05-22 23:02:23,tolong kembalikan teman temanku yang dulu!!😌,1
2026-05-22 22:42:45,bagus banget aku kasih lima bintang,5
2026-05-22 22:26:37,baik,5
2026-05-22 22:09:25,Jangan terlalu sering update. Kalau bisa map erengel yang pertama dikembalikan,1
2026-05-22 21:59:57,aku comeback daei pensi hehe enjoy,5
2026-05-22 21:49:30,bikin mles main gem ini ni grading kayak taii,1
2026-05-22 21:25:48,game yang sangat berat,5
2026-05-22 21:04:51,game yang sangat memuaskan,5
2026-05-22 21:02:41,anjay mabarrrrr,3
2026-05-22 21:01:27,kenapa Sering mati padahal rumah di atas atau atap di larang untuk semuanya tetapi musuh masih bisa diam di atas tiang rumah dan masih bisa menembak dari atap rumah yang jelas sudah di larang oleh sistem 🙏Minta tolong jangan ngecip dong jangan main kecurangan 🙏🙏beberapa kali perbarui ini game untuk musuh atau untuk keperluan musuh supaya dia menang trs menerus ??? sudah 2 tahun game seruh... tetapi untuk kali ini sesekali selalu musuh yang menang sangat membosankan sekali 🙏🙏🙏🙏,1
2026-05-22 20:58:50,untuk developer PUBG mobile jika ada next update tolong perbaiki masalah yang baru saya alami hari ini.jadi pas tadi saya main di event dan saya mati itu kita bisa respawn lagi.nah pas saya baru banget turun di dekat school tiba tiba karakter saya seperti terkena damage padahal tidak ada musuh atau saya bukan di luar zona dan karena itu saya karakter saya mati.itu aja dari saya semoga bisa diperbaiki segera masalah yang saya alami ya developer🙏,4
2026-05-22 20:49:27,game haram,1
2026-05-22 20:44:34,"game bagus realistis,bagusan PUBG sama ff daripada game plagiat kek blood strike,udah musuh pro semua gak sempat nembak, kikir lagi, penguras uang blood strike emang babi game itu",5
2026-05-22 20:43:58,"jir terlalu parah si ini game masa harus ganti device setiap mau ganti event selalu aja ada bug nya lah ada frame nya lah udah ukurannya gede tapi masi banyak minesnya. gmn ini, uda kikir juga lagi adeuh",2
2026-05-22 20:26:03,karna keren banget aku cinta,5
2026-05-22 19:45:02,"user HP kentang, ayo kita hapus pubg mobile rame"".event skrang berat nge lag nge frame, 🤦‍♂️🤦‍♂️ turunkan kualitas event nya , aagar kami masih bisa main event pubgM, EVENT TAIKK NGE LAG BNGETT 😡😡",5
2026-05-22 19:35:57,game kebanyakn donlodd doank,4
2026-05-22 19:21:07,"min, ini tolong aku, aku sudah mengajukan pemulihan akun tapi email sama no hp tidak terkait jadi tidak bisa login dan waktu itu aku loginnya di akun tamu",3
2026-05-22 18:08:44,pemain inti tidak akan redup dari game ini,5
2026-05-22 17:47:40,ok,5
2026-05-22 17:41:01,game ini sangat burik,2
2026-05-22 17:14:24,i love PUBGM❤️,5
2026-05-22 17:05:22,mendingan Mai FF dan mL daripada PUBG mobile udah main FF seru banget dan mL banyak Hero nya tapi lebih seru FF,1
2026-05-22 16:26:58,"gak beres ini game, saya open scope holo kok jadi gelap ya, di senjata tertentu, saya pakai di senjata uzi aman 2 saja ketika saya pakai di senjata AR malah hitam pekat musuh jadi gak kelihatan. satu lagi sering muncul ( terjadi kesalahan ) tolong pihak developer sekiranya bisa di perbaiki lagi TERJADI PADA HP saya POCO F5",1
2026-05-22 16:04:44,Game nya sudah bagus tapi tolong yang cheat itu di ban dong gua udh capek plisssssss,4
2026-05-22 15:40:26,game berat 🗿,1
2026-05-22 15:38:52,jangan jago -jago nanti kalian di banned.,1
2026-05-22 15:37:07,"PUBG telah kehilangan identitasnya, sayang sekali.",1
2026-05-22 15:21:13,"game nya burik ya kalo menurut gua udah grafik nya burik, penyimpanan gua langsung Penuh lagi sesudah ngadowload game ini gak wort it banget game burik tapi penyimpanan game nya besar",1
2026-05-22 14:20:45,seru jdi pengen nacak,5
2026-05-22 14:18:54,god game,5
2026-05-22 14:04:02,PUBG mobile banyak bug nya makin kesini makin gak jelas,3
2026-05-22 13:08:21,"apa ini woy!!!!!!!!!!!! gua main dari tadi server lu bilang koneksi internet gua hilang, padahal gua buka tiktok ig yt lancar aja, benerin cepat sialan",1
2026-05-22 12:35:05,"permainan nya bagus,cuma sangat sulit mendapatkan sekin senjata ataupun outfit permanen gratis,bagi player yang engga punya uang.",3
2026-05-22 11:55:11,sangat gacor,5
2026-05-22 11:36:33,Hallo Developer Saya Ingin Kasih Saran Tolong Bot Ai yg Menggunakan Rambo Itu Terlalu Sakit Damagenya Tolong di perbaiki Segera!!!,2
2026-05-22 11:08:49,"PUBG LONGORRRR , BAGUS BUAT UPDATE AN NY BUJANGGGG",1
2026-05-22 10:51:33,sangat Realistic,5
