Tanggal,Teks_Ulasan,Rating,Teks_Bersih,Teks_Stopword,Teks_Stemming
2026-05-26 20:35:37,"tolong lah bug bug nya di hilangkan,nyesek kali rasanya habis top up mau push rank ada aja penyakit nya,paling ngeselin bug jaringan,padahal sinyal bagus tapi bisa bisa nya loading,konyol kali bug nya",1,tolong lah bug bug nya di hilangkannyesek kali rasanya habis top up mau push rank ada aja penyakit nyapaling ngeselin bug jaringanpadahal sinyal bagus tapi bisa bisa nya loadingkonyol kali bug nya,tolong bug bug hilangkannyesek kali habis top up push rank penyakit nyapaling ngeselin bug jaringanpadahal sinyal bagus loadingkonyol kali bug,tolong bug bug hilangkannyesek kali habis top up push rank sakit nyapaling ngeselin bug jaringanpadahal sinyal bagus loadingkonyol kali bug
2026-05-26 19:54:21,"pliss ilangin aja mode grading menurut ku itu cuman bikin turun KD,emang betul Rank yg bakal nambah naik tapi KD ancur2an cumn demi naik rank.. kan orang2 pada ngendok semuaaaa!! pliss lah PUBG plisss hapus grading itu capek nihh😭😭 semenjak ada grading jujur nih KD gw malah hancur..capek ama PUBG skrg..🥱",3,pliss ilangin aja mode grading menurut ku itu cuman bikin turun kdemang betul rank yg bakal nambah naik tapi kd ancuran cumn demi naik rank kan orang pada ngendok semuaaaa pliss lah pubg plisss hapus grading itu capek nihh semenjak ada grading jujur nih kd gw malah hancurcapek ama pubg skrg,pliss ilangin mode grading ku cuman turun kdemang rank nambah kd ancuran cumn rank orang ngendok semuaaaa pliss plisss hapus grading capek nihh semenjak grading jujur nih kd hancurcapek ama skrg,pliss ilangin mode grading ku cuman turun kdemang rank nambah kd ancuran cumn rank orang ngendok semuaaaa pliss plisss hapus grading capek nihh semenjak grading jujur nih kd hancurcapek ama skrg
2026-05-26 19:49:19,aku pemain lama udah 8thn kecewa tidak di kasih baju gilt dan xsuitnya kalau nanti tidak di kasih baju gilt ala gladiator fiks saya akan berhenti main pubgm😭😭😭😭😭😭,1,aku pemain lama udah thn kecewa tidak di kasih baju gilt dan xsuitnya kalau nanti tidak di kasih baju gilt ala gladiator fiks saya akan berhenti main pubgm,pemain thn kecewa kasih baju gilt xsuitnya kasih baju gilt ala gladiator fiks berhenti main pubgm,main thn kecewa kasih baju gilt xsuitnya kasih baju gilt ala gladiator fiks henti main pubgm
2026-05-26 19:39:54,bagus tapi gak bisa di buka eror,1,bagus tapi gak bisa di buka eror,bagus buka eror,bagus buka eror
2026-05-26 18:42:18,game haram jangan buat mainnin pas bulan ramadhan,1,game haram jangan buat mainnin pas bulan ramadhan,haram mainnin ramadhan,haram mainnin ramadhan
2026-05-26 18:41:17,matchmaking terlalu lama sampai 9 menit. dan gagal,1,matchmaking terlalu lama sampai menit dan gagal,matchmaking menit gagal,matchmaking menit gagal
2026-05-26 18:40:43,"aturan tambah gak jelas ini,email bener² aktif di bilang tidak aktif kocak ni server bodoh,peraturan juga bodoh,login email di bilang salah akun koplak🤬🤬",1,aturan tambah gak jelas iniemail bener aktif di bilang tidak aktif kocak ni server bodohperaturan juga bodohlogin email di bilang salah akun koplak,aturan iniemail bener aktif bilang aktif kocak ni server bodohperaturan bodohlogin email bilang salah akun koplak,atur iniemail bener aktif bilang aktif kocak ni server bodohperaturan bodohlogin email bilang salah akun koplak
2026-05-26 18:18:39,77 8i k,5,i k,i k,i k
2026-05-26 17:16:21,kacau hampir tiap hari updet mulu apk makin berat pantesan player pubg sekarang beekurang trus banyak skin yang aneh aneh kaya game ff gak seruu,1,kacau hampir tiap hari updet mulu apk makin berat pantesan player pubg sekarang beekurang trus banyak skin yang aneh aneh kaya game ff gak seruu,kacau updet mulu apk berat pantesan player beekurang skin aneh aneh kaya ff seruu,kacau updet mulu apk berat pantesan player beekurang skin aneh aneh kaya ff seruu
2026-05-26 16:01:52,pubg game haram mending main game gta san andreas,1,pubg game haram mending main game gta san andreas,haram mending main gta san andreas,haram mending main gta san andreas
2026-05-26 14:49:26,game baperan,3,game baperan,baperan,baperan
2026-05-26 14:14:22,"game ini sangat baik di mainkan dan baik Skali untuk mengasah otak dengan mencari senjata dan menembak musuh baik itu di licik atau di rangjer petanya juga sangat banyak game PUBG ini ngga ada yang kalahin kalau di game game PUBG ini lebih baik dari dari manapun itu kalau dari saya game PUBG ini tetap game nomor 1 se dunia stau SE alam semesta,buat yang membuat game PUBG ini aku berterimakasih sekali kepada xprmbuat game ini, jika game ini tidak ada saya tidak akan merasakan bermain game PUBG.🤍",5,game ini sangat baik di mainkan dan baik skali untuk mengasah otak dengan mencari senjata dan menembak musuh baik itu di licik atau di rangjer petanya juga sangat banyak game pubg ini ngga ada yang kalahin kalau di game game pubg ini lebih baik dari dari manapun itu kalau dari saya game pubg ini tetap game nomor se dunia stau se alam semestabuat yang membuat game pubg ini aku berterimakasih sekali kepada xprmbuat game ini jika game ini tidak ada saya tidak akan merasakan bermain game pubg,mainkan skali mengasah otak mencari senjata menembak musuh licik rangjer petanya ngga kalahin manapun nomor dunia stau alam semestabuat berterimakasih xprmbuat merasakan bermain,main skali asah otak cari senjata tembak musuh licik rangjer peta ngga kalahin mana nomor dunia stau alam semestabuat berterimakasih xprmbuat rasa main
2026-05-26 13:43:38,server bapuk,1,server bapuk,server bapuk,server bapuk
2026-05-26 12:57:56,mirip ff,4,mirip ff,ff,ff
2026-05-26 12:55:55,"kepada game Pubg yang terhormat: TOLONG DITAMBAHKAN TOMBOL (AUTO SCOPE) karena saya player 2 jari, saya kesulitan saat memainkan game ini. mohon tombol auto scopenya ditambahkan, terima kasih.🙂",5,kepada game pubg yang terhormat tolong ditambahkan tombol auto scope karena saya player jari saya kesulitan saat memainkan game ini mohon tombol auto scopenya ditambahkan terima kasih,terhormat tolong tombol auto scope player jari kesulitan memainkan mohon tombol auto scopenya terima kasih,hormat tolong tombol auto scope player jari sulit main mohon tombol auto scopenya terima kasih
2026-05-26 12:52:19,game burik banyak orang ngedok,1,game burik banyak orang ngedok,burik orang ngedok,burik orang ngedok
2026-05-26 12:15:34,Lukman Bima Ntb (Lukman HJaharudin),5,lukman bima ntb lukman hjaharudin,lukman bima ntb lukman hjaharudin,lukman bima ntb lukman hjaharudin
2026-05-26 11:59:16,di hp redmegic lancar jaya grafik super smooth dan extreme,5,di hp redmegic lancar jaya grafik super smooth dan extreme,hp redmegic lancar jaya grafik super smooth extreme,hp redmegic lancar jaya grafik super smooth extreme
2026-05-26 11:42:29,semenjak.4.4 saya main bug dan patah2.ngelat parah.mau beli hp sesuain masi belum mampu.saya pakai samsung m30s sudah tidak kuat lagi untuk bermain,5,semenjak saya main bug dan patahngelat parahmau beli hp sesuain masi belum mampusaya pakai samsung ms sudah tidak kuat lagi untuk bermain,semenjak main bug patahngelat parahmau beli hp sesuain masi mampusaya pakai samsung ms kuat bermain,semenjak main bug patahngelat parahmau beli hp sesuain mas mampusaya pakai samsung ms kuat main
2026-05-26 11:19:43,gem ini sangat bagus dan menyenangkan,5,gem ini sangat bagus dan menyenangkan,gem bagus menyenangkan,gem bagus senang
2026-05-26 11:18:22,musuh nya boot semua,2,musuh nya boot semua,musuh boot,musuh boot
2026-05-26 10:37:17,miss pubg before,5,miss pubg before,miss before,miss before
2026-05-26 10:27:26,bagus,5,bagus,bagus,bagus
2026-05-26 10:13:28,"tolong developer nya kenapa UC saya tiba² berkurang sendiri pdahal tidak digunakan, tolong lah kita beli UC mengunakan uang sungguhan,UC saya berkurang kisaran 300 UC kurang dikit, tolong perbaiki sistem keamanan",5,tolong developer nya kenapa uc saya tiba berkurang sendiri pdahal tidak digunakan tolong lah kita beli uc mengunakan uang sungguhanuc saya berkurang kisaran uc kurang dikit tolong perbaiki sistem keamanan,tolong developer uc berkurang pdahal tolong beli uc mengunakan uang sungguhanuc berkurang kisaran uc dikit tolong perbaiki sistem keamanan,tolong developer uc kurang pdahal tolong beli uc mengunakan uang sungguhanuc kurang kisar uc dikit tolong baik sistem aman
2026-05-26 09:17:40,I em like pubg,5,i em like pubg,i em like,i em like
2026-05-26 08:29:08,game mandang sosial,1,game mandang sosial,mandang sosial,mandang sosial
2026-05-26 08:08:37,ikut ikutan epep dih,1,ikut ikutan epep dih,ikutan epep dih,ikut epep dih
2026-05-26 08:03:26,"saat bermain game, saya merekam permainan untuk satu match, tapi hasil rekaman suaranya tidak normal hanya terdengar seperti angin ribut, padahal sebelumnya baik2 saja, mungkin setelah update sedikit pembaruan saat membuka game",3,saat bermain game saya merekam permainan untuk satu match tapi hasil rekaman suaranya tidak normal hanya terdengar seperti angin ribut padahal sebelumnya baik saja mungkin setelah update sedikit pembaruan saat membuka game,bermain merekam permainan match hasil rekaman suaranya normal terdengar angin ribut update pembaruan membuka,main rekam main match hasil rekam suara normal dengar angin ribut update baru buka
2026-05-26 07:40:28,game paling pelit yang pernah gua mainin,1,game paling pelit yang pernah gua mainin,pelit mainin,pelit mainin
2026-05-26 07:38:20,"Bintang 1. Game penuh manipulasi. Bot-nya bukan buat mengisi slot tapi buat memanipulasi gameplay. Tiba-tiba jadi aimbot (instan headshot) cuma buat bikin player panik dan kalah. Bukan game skill, tapi game scripted. Percuma main serius kalau sistemnya curang. Uninstalled.",1,bintang game penuh manipulasi botnya bukan buat mengisi slot tapi buat memanipulasi gameplay tibatiba jadi aimbot instan headshot cuma buat bikin player panik dan kalah bukan game skill tapi game scripted percuma main serius kalau sistemnya curang uninstalled,bintang penuh manipulasi botnya mengisi slot memanipulasi gameplay tibatiba aimbot instan headshot player panik kalah skill scripted main serius sistemnya curang uninstalled,bintang penuh manipulasi bot isi slot manipulasi gameplay tibatiba aimbot instan headshot player panik kalah skill scripted main serius sistem curang uninstalled
2026-05-26 06:48:42,Mantap,5,mantap,mantap,mantap
2026-05-26 03:27:37,sangat luar biasa,5,sangat luar biasa,,
2026-05-25 23:18:40,gua download ini gara-gara encang Smith,4,gua download ini garagara encang smith,download garagara encang smith,download garagara encang smith
2026-05-25 23:09:51,Perfect game,5,perfect game,perfect,perfect
2026-05-25 22:28:19,"ini kenapa gw nga bisa login, udah di perbarui ulang tetep aja, nyampe 3x login harus ngulang dan ada waktu pula 300 detik gimna lah",3,ini kenapa gw nga bisa login udah di perbarui ulang tetep aja nyampe x login harus ngulang dan ada waktu pula detik gimna lah,nga login perbarui ulang tetep nyampe x login ngulang detik gimna,nga login baru ulang tetep nyampe x login ngulang detik gimna
2026-05-25 22:26:05,kenapa ngak seperti dulu game nya agak aneh rasanya main game ini sekarang musuhnya hebat hebat lagi nggak seperti dulu dulu ngak ada gyiro ataupun pakai handset tapi sekarang pakai handsed😭😭😭,5,kenapa ngak seperti dulu game nya agak aneh rasanya main game ini sekarang musuhnya hebat hebat lagi nggak seperti dulu dulu ngak ada gyiro ataupun pakai handset tapi sekarang pakai handsed,ngak aneh main musuhnya hebat hebat nggak ngak gyiro pakai handset pakai handsed,ngak aneh main musuh hebat hebat nggak ngak gyiro pakai handset pakai handsed
2026-05-25 22:21:21,makin kesini chiter makin merajalela aja delover tolong tingkatkan kemanan nya lagi chiter masi aja ada makin malas tuk bermain pubg kalo masih ada chiter dan hilangkan ipen ipen yang tidak jelas,2,makin kesini chiter makin merajalela aja delover tolong tingkatkan kemanan nya lagi chiter masi aja ada makin malas tuk bermain pubg kalo masih ada chiter dan hilangkan ipen ipen yang tidak jelas,kesini chiter merajalela delover tolong tingkatkan kemanan chiter masi malas tuk bermain chiter hilangkan ipen ipen,kesini chiter rajalela delover tolong tingkat keman chiter mas malas tuk main chiter hilang ipen ipen
2026-05-25 22:20:09,pubg menyenangkan apabila device mendukung,5,pubg menyenangkan apabila device mendukung,menyenangkan device mendukung,senang device dukung
2026-05-25 21:54:54,"kalau bikin game yang niat masa poin turun nya banyak banget, sekalinya poin kenaikan nya dikit banget nambah nya, itu yang bikin game lu sepi wkwkwkk🤣🤣🤣",1,kalau bikin game yang niat masa poin turun nya banyak banget sekalinya poin kenaikan nya dikit banget nambah nya itu yang bikin game lu sepi wkwkwkk,niat poin turun sekalinya poin kenaikan dikit nambah sepi wkwkwkk,niat poin turun sekali poin naik dikit nambah sepi wkwkwkk
2026-05-25 21:34:50,game nya bagus tapi size makin besar.,2,game nya bagus tapi size makin besar,bagus size,bagus size
2026-05-25 21:29:33,"ini game kebanyakan download habisin quota kaum miskin Bos.. dikit2 download padahal uda di download ,barusan main aman logout masuk lagi login minta unduh lagi.. skin sama item2 nya Bos",1,ini game kebanyakan download habisin quota kaum miskin bos dikit download padahal uda di download barusan main aman logout masuk lagi login minta unduh lagi skin sama item nya bos,kebanyakan download habisin quota kaum miskin bos dikit download uda download barusan main aman logout masuk login unduh skin item bos,banyak download habisin quota kaum miskin bos dikit download uda download barusan main aman logout masuk login unduh skin item bos
2026-05-25 21:19:33,"saya memainkan game ini, update membuat hp saya lag, sinyal terputus, grafis patah patah kejadian ini sangat merugikan saya. saya harap pihak pubg memperbaiki msalah ini secepatnya.",2,saya memainkan game ini update membuat hp saya lag sinyal terputus grafis patah patah kejadian ini sangat merugikan saya saya harap pihak pubg memperbaiki msalah ini secepatnya,memainkan update hp lag sinyal terputus grafis patah patah kejadian merugikan harap memperbaiki msalah secepatnya,main update hp lag sinyal putus grafis patah patah jadi rugi harap baik msalah cepat
2026-05-25 21:18:30,oke,5,oke,oke,oke
2026-05-25 20:27:59,kenapa gak bisa login login sih bug apa ini pubg menggunakan akun lain juga gak bisa login kenapa ini,1,kenapa gak bisa login login sih bug apa ini pubg menggunakan akun lain juga gak bisa login kenapa ini,login login bug akun login,login login bug akun login
2026-05-25 20:18:04,ok,5,ok,ok,ok
2026-05-25 20:10:28,"mencari lawanya kelamaan hampir dua menit, beda sama game ff",1,mencari lawanya kelamaan hampir dua menit beda sama game ff,mencari lawanya menit beda ff,cari lawa menit beda ff
2026-05-25 20:10:13,sudah waktunya hapus gem. 8 gb sudah ga mampu bos login aja susah. sudah terlalu lama main mungkin idah waktunya berenti. over even berat,1,sudah waktunya hapus gem gb sudah ga mampu bos login aja susah sudah terlalu lama main mungkin idah waktunya berenti over even berat,hapus gem gb bos login susah main idah berenti over even berat,hapus gem gb bos login susah main idah renti over even berat
2026-05-25 19:59:57,"ini bug servernya parah,login game malah cuma di loading screen lebih dari 10 menit gak masuk2 padahal wifi ok,sinyal jaringan ok perbaiki lah bug nya, jangan cuma banyakin event doang bug malah di biarin",1,ini bug servernya parahlogin game malah cuma di loading screen lebih dari menit gak masuk padahal wifi oksinyal jaringan ok perbaiki lah bug nya jangan cuma banyakin event doang bug malah di biarin,bug servernya parahlogin loading screen menit masuk wifi oksinyal jaringan ok perbaiki bug banyakin event doang bug biarin,bug servernya parahlogin loading screen menit masuk wifi oksinyal jaring ok baik bug banyakin event doang bug biarin
2026-05-25 19:55:47,makin ga jelas susah login jaringan bagus lancar ngestug di logo aja,1,makin ga jelas susah login jaringan bagus lancar ngestug di logo aja,susah login jaringan bagus lancar ngestug logo,susah login jaring bagus lancar ngestug logo
2026-05-25 19:50:32,"fix tombol fire nya, kadang nembak kadang enggak",2,fix tombol fire nya kadang nembak kadang enggak,fix tombol fire kadang nembak kadang,fix tombol fire kadang nembak kadang
2026-05-25 19:44:58,jelek anying,1,jelek anying,jelek anying,jelek anying
2026-05-25 19:40:13,terlalu banyak bot sudah tidak se seru dulu makin lama makin hilang keseruannya,2,terlalu banyak bot sudah tidak se seru dulu makin lama makin hilang keseruannya,bot seru hilang keseruannya,bot seru hilang seru
2026-05-25 19:17:34,"aneh deh pake wifi gak bisa gabung ke server, tapi pake jaringan data biasa bisa jadi annoying bgt",2,aneh deh pake wifi gak bisa gabung ke server tapi pake jaringan data biasa bisa jadi annoying bgt,aneh pake wifi gabung server pake jaringan data annoying,aneh pake wifi gabung server pake jaring data annoying
2026-05-25 19:04:30,"setelah ada update pembaruan one ui 8.5 pubgm tidak bisa di buka, apakah ini bug? kalo memang iya tolong diperbaiki",5,setelah ada update pembaruan one ui pubgm tidak bisa di buka apakah ini bug kalo memang iya tolong diperbaiki,update pembaruan one ui pubgm buka bug iya tolong diperbaiki,update baru one ui pubgm buka bug iya tolong baik
2026-05-25 19:04:09,gatau belum nyoba,1,gatau belum nyoba,gatau nyoba,gatau nyoba
2026-05-25 18:31:57,mantap sob,5,mantap sob,mantap sob,mantap sob
2026-05-25 18:07:53,Pada update berikutnya tolong berikan smooth 120 fps pada Xiaomi Pad 8,5,pada update berikutnya tolong berikan smooth fps pada xiaomi pad,update tolong smooth fps xiaomi pad,update tolong smooth fps xiaomi pad
2026-05-25 16:31:43,"apala cuma dapet fps cuma 30an kadang turun sampe 10, grafik juga udah super smooth😤",1,apala cuma dapet fps cuma an kadang turun sampe grafik juga udah super smooth,apala dapet fps an kadang turun sampe grafik super smooth,apala dapet fps an kadang turun sampe grafik super smooth
2026-05-25 16:03:28,teruntuk owner pubg mobile tolong perbaiki bug yang sering terjadi ini pas main mode solo di rank terus ubah ke squad dia malah gaada event & tempat recall suka aneh udah kaya epep aja lu banyak bug,5,teruntuk owner pubg mobile tolong perbaiki bug yang sering terjadi ini pas main mode solo di rank terus ubah ke squad dia malah gaada event tempat recall suka aneh udah kaya epep aja lu banyak bug,teruntuk owner mobile tolong perbaiki bug main mode solo rank ubah squad gaada event recall suka aneh kaya epep bug,untuk owner mobile tolong baik bug main mode solo rank ubah squad gaada event recall suka aneh kaya epep bug
2026-05-25 15:07:31,RP sekarang udah tidak bagus..rilis sekin m46.itu pun.lama...sekarang pun makin pahit sekin senjata ya..PUBG sekarang udah tidak memberi kesan bgus.untk di maenkan sama player baru..,5,rp sekarang udah tidak bagusrilis sekin mitu punlamasekarang pun makin pahit sekin senjata yapubg sekarang udah tidak memberi kesan bgusuntk di maenkan sama player baru,rp bagusrilis sekin mitu punlamasekarang pahit sekin senjata yapubg kesan bgusuntk maenkan player,rp bagusrilis sekin mitu punlamasekarang pahit sekin senjata yapubg kesan bgusuntk maenkan player
2026-05-25 15:02:11,"I thank Level Infinite because after Update 4.4, it is a little behind than before, I hope you can improve more changes that can make the game easier and smoother. Another thing I want is how can I stop downloading in pubg, I have stopped the automatic download but why is it still moving to download?",4,i thank level infinite because after update it is a little behind than before i hope you can improve more changes that can make the game easier and smoother another thing i want is how can i stop downloading in pubg i have stopped the automatic download but why is it still moving to download,i thank level infinite because after update it is a little behind than before i hope you can improve more changes that can make the easier and smoother another thing i want is how can i stop downloading in i have stopped the automatic download but why is it still moving to download,i thank level infinite because after update it is a little behind than before i hope you can improve more changes that can make the easier and smoother another thing i want is how can i stop downloading in i have stopped the automatic download but why is it still moving to download
2026-05-25 14:37:43,main ge ini dulu 2018 skarang mau main nih game lagi mau masuk aja ribet eror trus.,1,main ge ini dulu skarang mau main nih game lagi mau masuk aja ribet eror trus,main ge skarang main nih masuk ribet eror,main ge skarang main nih masuk ribet eror
2026-05-25 13:54:31,pubg game bagus sebenarnya gamenya keren,5,pubg game bagus sebenarnya gamenya keren,bagus gamenya keren,bagus gamenya keren
2026-05-25 13:42:00,gem ini mantap saya maen dari 2020,5,gem ini mantap saya maen dari,gem mantap maen,gem mantap maen
2026-05-25 13:26:29,halo saya claimed 220 uc di midasbuy tapi uc tidak tertambah setelah menyelesaiakn top up sebanyak 600 uc . di in game status udah ter claimed juga. bisakah saya melihat history gacha atau beli item di dalam game ini? tolong saya ya. atau kasih alamat email yang bisa aku hubungi ( bukan bot ataupun ai),3,halo saya claimed uc di midasbuy tapi uc tidak tertambah setelah menyelesaiakn top up sebanyak uc di in game status udah ter claimed juga bisakah saya melihat history gacha atau beli item di dalam game ini tolong saya ya atau kasih alamat email yang bisa aku hubungi bukan bot ataupun ai,halo claimed uc midasbuy uc tertambah menyelesaiakn top up uc in status ter claimed history gacha beli item tolong kasih alamat email hubungi bot ai,halo claimed uc midasbuy uc tambah menyelesaiakn top up uc in status ter claimed history gacha beli item tolong kasih alamat email hubung bot ai
2026-05-25 12:12:12,game mati keluar asap wkwk🤪🤣,1,game mati keluar asap wkwk,mati asap wkwk,mati asap wkwk
2026-05-25 11:56:24,♡♡♡♡♡ please update fitur rumah rumah,5,please update fitur rumah rumah,please update fitur rumah rumah,please update fitur rumah rumah
2026-05-25 10:52:23,pake jaringan apapun busuk gak bisa masuk,1,pake jaringan apapun busuk gak bisa masuk,pake jaringan apapun busuk masuk,pake jaring apa busuk masuk
2026-05-25 10:22:34,"Min kenapa Poco F7 belum terbuka HDR Extreme+ padahal secara chipset harusnya sudah mumpuni, terima kasih.",3,min kenapa poco f belum terbuka hdr extreme padahal secara chipset harusnya sudah mumpuni terima kasih,min poco f terbuka hdr extreme chipset mumpuni terima kasih,min poco f buka hdr extreme chipset mumpuni terima kasih
2026-05-25 09:58:57,bagusss🥰😍,5,bagusss,bagusss,bagusss
2026-05-25 09:27:40,baguslah gamenya,5,baguslah gamenya,baguslah gamenya,bagus gamenya
2026-05-25 09:02:06,"tidak bisa login menggunakan akun twitter, sudah 2 hari begini terus padahal akun saya dari season 2,mohon diperbaiki !!",1,tidak bisa login menggunakan akun twitter sudah hari begini terus padahal akun saya dari season mohon diperbaiki,login akun twitter akun season mohon diperbaiki,login akun twitter akun season mohon baik
2026-05-25 08:53:03,kami tim kage PUBG mobile sangan kecewa dengan cerita menjiplak karya seseorang mencurinya secara sewenang-wenang dengan menghilangkan Menggantinya yg baru bahkan jika lebih banyak orang memainkan kage PUBG mobile versi terbaru tim garusoft kami TDK akan ragu menghapus game PUBG mobile di semua negara lagi lagi tim garusoft yg membuat mobile PUBG mobile sangat marah dengan akun bernama ichalkorg,1,kami tim kage pubg mobile sangan kecewa dengan cerita menjiplak karya seseorang mencurinya secara sewenangwenang dengan menghilangkan menggantinya yg baru bahkan jika lebih banyak orang memainkan kage pubg mobile versi terbaru tim garusoft kami tdk akan ragu menghapus game pubg mobile di semua negara lagi lagi tim garusoft yg membuat mobile pubg mobile sangat marah dengan akun bernama ichalkorg,tim kage mobile sangan kecewa cerita menjiplak karya mencurinya sewenangwenang menghilangkan menggantinya orang memainkan kage mobile versi terbaru tim garusoft tdk ragu menghapus mobile negara tim garusoft mobile mobile marah akun bernama ichalkorg,tim kage mobile sangan kecewa cerita jiplak karya cur sewenangwenang hilang ganti orang main kage mobile versi baru tim garusoft tdk ragu hapus mobile negara tim garusoft mobile mobile marah akun nama ichalkorg
2026-05-25 08:19:14,"game ini dulunya sangat bagus dan seru ,namun sekarang saya coba download di Infinix hot 60i sungguh sangat ngepreme ..bahkan makin leg leagi di grafis super semoud Berti PUBG di tahun 2026 ini tidak ada lagi device android bahkan ippone 13 promax tetap leg",1,game ini dulunya sangat bagus dan seru namun sekarang saya coba download di infinix hot i sungguh sangat ngepreme bahkan makin leg leagi di grafis super semoud berti pubg di tahun ini tidak ada lagi device android bahkan ippone promax tetap leg,dulunya bagus seru coba download infinix hot i sungguh ngepreme leg leagi grafis super semoud berti device android ippone promax leg,dulunya bagus seru coba download infinix hot i sungguh ngepreme leg leagi grafis super semoud berti device android ippone promax leg
2026-05-25 08:13:31,game nya seru banget!!!,1,game nya seru banget,seru,seru
